Function,Best,Median,Mean,Worst,SD
1,1.14E+01,3.21E+03,4.16E+03,1.61E+04,3.57E+03
3,7.89E+04,1.15E+05,1.17E+05,1.70E+05,1.91E+04
4,8.17E+01,2.18E+02,2.13E+02,3.53E+02,5.58E+01
5,7.66E+01,7.65E+02,6.34E+02,8.30E+02,2.66E+02
6,7.41E-06,9.13E-05,3.36E-03,5.71E-02,9.63E-03
7,8.48E+02,8.86E+02,8.86E+02,9.41E+02,1.82E+01
8,5.87E+01,7.61E+02,6.10E+02,8.09E+02,2.82E+02
9,1.27E+00,8.33E+00,9.64E+00,2.84E+01,6.22E+00
10,2.84E+04,2.94E+04,2.94E+04,3.05E+04,4.46E+02
11,1.65E+02,2.65E+02,2.82E+02,5.01E+02,7.70E+01
12,1.67E+04,5.86E+04,7.58E+04,2.83E+05,6.09E+04
13,4.86E+01,2.63E+03,3.06E+03,1.06E+04,2.40E+03
14,5.16E+02,2.80E+03,4.13E+03,1.68E+04,3.73E+03
15,1.29E+01,3.63E+02,7.70E+02,4.75E+03,9.90E+02
16,9.82E+01,8.42E+02,2.22E+03,7.15E+03,2.46E+03
17,9.13E+02,4.06E+03,3.86E+03,4.62E+03,7.54E+02
18,9.49E+03,4.81E+04,5.70E+04,1.79E+05,3.28E+04
19,4.79E+01,9.60E+02,1.68E+03,8.60E+03,2.07E+03
20,3.78E+03,4.36E+03,4.33E+03,4.75E+03,2.22E+02
21,2.80E+02,9.52E+02,7.04E+02,1.03E+03,3.28E+02
22,2.89E+04,3.02E+04,3.02E+04,3.12E+04,5.31E+02
23,5.79E+02,6.09E+02,6.10E+02,6.40E+02,1.40E+01
24,8.98E+02,9.36E+02,9.32E+02,9.60E+02,1.58E+01
25,6.38E+02,8.19E+02,8.16E+02,8.96E+02,4.88E+01
26,3.32E+03,3.67E+03,3.67E+03,4.04E+03,1.84E+02
27,6.15E+02,6.52E+02,6.54E+02,7.92E+02,2.92E+01
28,4.99E+02,5.60E+02,5.58E+02,6.19E+02,3.28E+01
29,9.54E+02,1.31E+03,1.30E+03,1.77E+03,1.99E+02
30,2.46E+03,2.88E+03,2.88E+03,3.33E+03,1.80E+02
